Episode: 0, Total Reward: 5, Total Loss: -0.5501728057861328
Episode: 1, Total Reward: 4, Total Loss: 0.1878490447998047
Episode: 2, Total Reward: 10, Total Loss: 0.24201679229736328
Episode: 3, Total Reward: 0, Total Loss: 0.0
Episode: 4, Total Reward: 9, Total Loss: 0.8078286647796631
Episode: 5, Total Reward: 7, Total Loss: -0.15839314460754395
Episode: 6, Total Reward: 0, Total Loss: 0.0
Episode: 7, Total Reward: 0, Total Loss: 0.0
Episode: 8, Total Reward: 8, Total Loss: -0.029098033905029297
Episode: 9, Total Reward: 3, Total Loss: -0.7083535194396973
Episode: 10, Total Reward: 0, Total Loss: 0.0
Episode: 11, Total Reward: 7, Total Loss: 0.10332226753234863
Episode: 12, Total Reward: 5, Total Loss: -0.06067299842834473
Episode: 13, Total Reward: 0, Total Loss: 0.0
Episode: 14, Total Reward: 9, Total Loss: -0.02801811695098877
Episode: 15, Total Reward: 5, Total Loss: -0.04915904998779297
Episode: 16, Total Reward: 0, Total Loss: 0.0
Episode: 17, Total Reward: 0, Total Loss: 0.0
Episode: 18, Total Reward: 9, Total Loss: 0.26117539405822754
Episode: 19, Total Reward: 9, Total Loss: 0.004389524459838867
Episode: 20, Total Reward: 7, Total Loss: 0.15709877014160156
Episode: 21, Total Reward: 5, Total Loss: -0.03267669677734375
Episode: 22, Total Reward: 7, Total Loss: -0.3815624713897705
Episode: 23, Total Reward: 0, Total Loss: 0.0
Episode: 24, Total Reward: 5, Total Loss: 0.2639923095703125
Episode: 25, Total Reward: 1, Total Loss: -0.39582014083862305
Episode: 26, Total Reward: 0, Total Loss: 0.0
Episode: 27, Total Reward: 0, Total Loss: 0.0
Episode: 28, Total Reward: 6, Total Loss: -0.08942413330078125
Episode: 29, Total Reward: 7, Total Loss: -0.36604809761047363
Episode: 30, Total Reward: 0, Total Loss: 0.0
Episode: 31, Total Reward: 5, Total Loss: -0.4733598232269287
Episode: 32, Total Reward: 5, Total Loss: -0.17563414573669434
Episode: 33, Total Reward: 5, Total Loss: -0.575498104095459
Episode: 34, Total Reward: 3, Total Loss: -0.5465383529663086
Episode: 35, Total Reward: 11, Total Loss: -0.08509469032287598
Episode: 36, Total Reward: 13, Total Loss: -0.009916305541992188
Episode: 37, Total Reward: 1, Total Loss: -0.5065209865570068
Episode: 38, Total Reward: 6, Total Loss: -0.35661792755126953
Episode: 39, Total Reward: 9, Total Loss: 0.3984825611114502
Episode: 40, Total Reward: 9, Total Loss: -0.03803610801696777
